VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
2259, 1757,  0.40063,  8.95313, -4.01172,  1.00,  0.14961,  0.5748, -0.80315,  0.00,  0.2549,  0.14902,  0.24314,  0.42353,  0.99658,  0.71875, -0.05222,  0.59326, ---, ---, ---, ---
2260, 1758, -0.89111,  8.64844, -2.36914,  1.00, -0.11024,  0.6378, -0.76378,  0.00,  0.2549,  0.14902,  0.24314,  0.32941,  0.00964,  0.27246, -0.05222,  0.59326, ---, ---, ---, ---
2261, 1759, -0.8042,  9.50781, -3.60938,  1.00, -0.07874,  0.62992, -0.77165,  0.00,  0.2549,  0.14902,  0.24314,  0.01569,  0.3064,  1.00293, -0.05222,  0.59326, ---, ---, ---, ---
2262, 1760, -0.52734,  7.76953, -3.46484,  1.00,  0.07087,  0.47244, -0.87402,  0.00,  0.11765,  0.67451,  0.23137,  0.4549,  1.04785,  0.68164,  0.13074,  0.01502, ---, ---, ---, ---
2263, 1761, -1.0459,  8.60938, -2.1875,  1.00, -0.11811,  0.70079, -0.70079,  0.00,  0.20392,  0.87059,  0.33725,  0.25098,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2264, 1762,  0.53516,  8.98438, -4.17578,  1.00,  0.16535,  0.52756, -0.83465,  0.00,  0.20392,  0.87059,  0.33725,  0.57647,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2265, 1763,  0.49731,  9.05469, -2.29688,  1.00,  0.28346,  0.70866, -0.64567,  0.00,  0.36078,  0.98039,  0.48235,  0.28235,  0.01697,  0.25366, -0.05222,  0.59326, ---, ---, ---, ---
2266, 1762,  0.53516,  8.98438, -4.17578,  1.00,  0.16535,  0.52756, -0.83465,  0.00,  0.20392,  0.87059,  0.33725,  0.57647,  0.30396,  1.00586, -0.05222,  0.59326, ---, ---, ---, ---
2267, 1761, -1.0459,  8.60938, -2.1875,  1.00, -0.11811,  0.70079, -0.70079,  0.00,  0.20392,  0.87059,  0.33725,  0.25098,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
2268, 1764, -1.87109,  9.32031, -2.81836,  1.00, -0.31496,  0.64567, -0.69291,  0.00,  0.67843,  0.92157,  0.70196,  0.00,  1.04785,  0.68164, -0.05222,  0.59326, ---, ---, ---, ---
2269, 1765, -2.55273,  8.85938, -1.25684,  1.00, -0.50394,  0.71654, -0.48031,  0.00,  0.75686,  0.74902,  0.84706,  0.3451,  0.30396,  1.00586, -0.82617,  0.09851, ---, ---, ---, ---
2270, 1766, -0.42163,  8.63281, -2.66992,  1.00,  0.07874,  0.62205, -0.77953,  0.00,  0.75686,  0.74902,  0.84706,  0.25098,  0.75195,  0.01089, -0.05222,  0.59326, ---, ---, ---, ---
