VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
51, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
52, 2,  2.08984,  0.67041,  1.77734,  1.00,  0.43307,  0.85827,  0.28346,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22937,  0.44751,  0.22937,  0.44751, -0.71654,  0.51969, -0.46457, -1.00
53, 15,  3.1543,  0.48853,  0.34302,  1.00,  0.44094,  0.88189,  0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22095,  0.60986,  0.22095,  0.60986, -0.77165,  0.46457, -0.43307, -1.00
54, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
55, 16,  3.25,  0.46997, -0.92432,  1.00,  0.38583,  0.91339, -0.09449,  0.00,  1.00,  1.00,  1.00,  0.00,  0.27539,  0.71533,  0.27539,  0.71533, -0.84252,  0.31496, -0.43307, -1.00
56, 8,  2.03906,  0.68945, -2.0332,  1.00,  0.27559,  0.87402, -0.40945,  0.00,  1.00,  1.00,  1.00,  0.00,  0.41992,  0.74805,  0.41992,  0.74805, -0.86614,  0.03937, -0.49606, -1.00
57, 0,  1.58008,  1.67969, -0.35864,  1.00,  0.3937,  0.91339, -0.08661,  0.00,  1.00,  1.00,  1.00,  0.00,  0.37451,  0.59229,  0.37451,  0.59229, -0.81102,  0.30709, -0.49606, -1.00
58, 15,  3.1543,  0.48853,  0.34302,  1.00,  0.44094,  0.88189,  0.14961,  0.00,  1.00,  1.00,  1.00,  0.00,  0.22095,  0.60986,  0.22095,  0.60986, -0.77165,  0.46457, -0.43307, -1.00
59, 16,  3.25,  0.46997, -0.92432,  1.00,  0.38583,  0.91339, -0.09449,  0.00,  1.00,  1.00,  1.00,  0.00,  0.27539,  0.71533,  0.27539,  0.71533, -0.84252,  0.31496, -0.43307, -1.00
60, 9,  0.15222,  0.5083,  3.22852,  1.00, -0.04724,  0.85827,  0.51969,  0.00,  1.00,  1.00,  1.00,  0.00,  0.3125,  0.2373,  0.3125,  0.2373, -0.82677,  0.25984, -0.50394, -1.00
61, 5, -1.38477,  0.6875,  2.28906,  1.00, -0.29921,  0.80315,  0.51181,  0.00,  1.00,  1.00,  1.00,  0.00,  0.48071,  0.23669,  0.48071,  0.23669, -0.86614, -0.00787, -0.49606, -1.00
62, 17, -0.77783, -0.32202,  4.53906,  1.00, -0.19685,  0.85827,  0.48031,  0.00,  1.00,  1.00,  1.00,  0.00,  0.32227,  0.08765,  0.32227,  0.08765, -0.85039,  0.09449, -0.51969, -1.00
63, 11, -3.45313,  0.75635, -0.01976,  1.00, -0.47244,  0.88189, -0.0315,  0.00,  1.00,  1.00,  1.00,  0.00,  0.73877,  0.33105,  0.73877,  0.33105, -0.75591, -0.41732, -0.50394, -1.00
64, 7, -2.32227,  0.75439, -1.50098,  1.00, -0.34646,  0.88189, -0.32283,  0.00,  1.00,  1.00,  1.00,  0.00,  0.74072,  0.49219,  0.74072,  0.49219, -0.75591, -0.46457, -0.46457, -1.00
65, 18, -5.44531, -0.32202, -0.2771,  1.00, -0.44094,  0.89764,  0.02362,  0.00,  1.00,  1.00,  1.00,  0.00,  0.92871,  0.24207,  0.92871,  0.24207, -0.77165, -0.37008, -0.51181, -1.00
66, 5, -1.38477,  0.6875,  2.28906,  1.00, -0.29921,  0.80315,  0.51181,  0.00,  1.00,  1.00,  1.00,  0.00,  0.48071,  0.23669,  0.48071,  0.23669, -0.86614, -0.00787, -0.49606, -1.00
