VTX, IDX, POSITION.x, POSITION.y, POSITION.z, POSITION.w, NORMAL.x, NORMAL.y, NORMAL.z, NORMAL.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w
525, 333, -0.22644,  1.83398,  0.70459,  1.00, -0.18898,  0.15748,  0.9685,  0.00,  0.53333,  0.83922,  0.86667,  0.6549,  0.88281,  0.69629,  2.49805,  0.65674, ---, ---, ---, ---
526, 334,  0.23938,  2.38672,  1.19043,  1.00,  0.18898,  0.27559,  0.94488,  0.00,  0.59608,  0.85882,  0.83529,  0.59216,  0.54004,  0.0039,  3.00195,  0.58057, ---, ---, ---, ---
527, 335,  0.11737,  1.83691,  0.30127,  1.00,  0.40945,  0.17323,  0.89764,  0.00,  0.78824,  0.87451,  0.65882,  0.65098,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
528, 336,  0.55273,  2.36328,  0.73926,  1.00,  0.50394,  0.29134,  0.81102,  0.00,  0.82745,  0.86275,  0.60784,  0.81176,  0.09113,  0.2561,  3.375,  0.85596, ---, ---, ---, ---
529, 335,  0.11737,  1.83691,  0.30127,  1.00,  0.40945,  0.17323,  0.89764,  0.00,  0.78824,  0.87451,  0.65882,  0.65098,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
530, 334,  0.23938,  2.38672,  1.19043,  1.00,  0.18898,  0.27559,  0.94488,  0.00,  0.59608,  0.85882,  0.83529,  0.59216,  0.54004,  0.0039,  3.00195,  0.58057, ---, ---, ---, ---
531, 336,  0.55273,  2.36328,  0.73926,  1.00,  0.50394,  0.29134,  0.81102,  0.00,  0.82745,  0.86275,  0.60784,  0.81176,  0.09113,  0.2561,  3.375,  0.85596, ---, ---, ---, ---
532, 337,  0.50781,  1.95801,  0.44434,  1.00,  0.67717,  0.18898,  0.70866,  0.00,  0.90588,  0.78824,  0.43922,  0.67059,  0.05051,  0.69678,  3.375,  0.85596, ---, ---, ---, ---
533, 335,  0.11737,  1.83691,  0.30127,  1.00,  0.40945,  0.17323,  0.89764,  0.00,  0.78824,  0.87451,  0.65882,  0.65098,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
534, 333, -0.22644,  1.83398,  0.70459,  1.00, -0.18898,  0.15748,  0.9685,  0.00,  0.53333,  0.83922,  0.86667,  0.6549,  0.88281,  0.69629,  2.49805,  0.65674, ---, ---, ---, ---
535, 338, -0.00311,  1.94336,  1.18848,  1.00,  0.03937,  0.16535,  0.98425,  0.00,  0.35686,  0.72941,  0.92157,  0.87451,  0.94971,  0.22192,  3.00195,  0.58057, ---, ---, ---, ---
536, 334,  0.23938,  2.38672,  1.19043,  1.00,  0.18898,  0.27559,  0.94488,  0.00,  0.59608,  0.85882,  0.83529,  0.59216,  0.54004,  0.0039,  3.00195,  0.58057, ---, ---, ---, ---
537, 339, -0.85059,  2.43164,  1.48242,  1.00, -0.4252,  0.25984,  0.86614,  0.00,  0.67451,  0.31373,  0.92941,  0.86275,  0.54053,  0.0048,  3.00195,  0.58057, ---, ---, ---, ---
538, 340, -0.75049,  2.59375,  1.06348,  1.00, -0.48031,  0.33071,  0.81102,  0.00,  0.67451,  0.31373,  0.92941,  0.8902,  0.94922,  0.2229,  3.00195,  0.58057, ---, ---, ---, ---
539, 341, -0.36646,  2.10156,  0.6377,  1.00, -0.40157,  0.23622,  0.88189,  0.00,  0.67451,  0.31373,  0.92941,  0.6549,  0.88379,  0.69629,  3.00195,  0.58057, ---, ---, ---, ---
540, 342, -0.39136,  2.57031,  1.7041,  1.00, -0.18898,  0.29134,  0.93701,  0.00,  0.55294,  0.61569,  0.98431,  0.88235,  0.54053,  0.0048,  3.00195,  0.58057, ---, ---, ---, ---
541, 343, -0.31104,  2.71875,  1.30762,  1.00, -0.17323,  0.35433,  0.92126,  0.00,  0.55294,  0.61569,  0.98431,  0.8902,  0.94922,  0.2229,  2.91406,  0.81982, ---, ---, ---, ---
542, 344, -0.37427,  2.22461,  0.80469,  1.00, -0.3622,  0.25984,  0.89764,  0.00,  0.55294,  0.61569,  0.98431,  0.62353,  0.88379,  0.69629,  3.00195,  0.58057, ---, ---, ---, ---
543, 345, -0.19397,  3.01172,  1.25684,  1.00, -0.09449,  0.43307,  0.89764,  0.00,  0.18039,  0.35294,  0.14118,  0.39216,  0.54053,  0.0048,  2.91406,  0.81982, ---, ---, ---, ---
544, 346,  0.07404,  2.20508,  0.58447,  1.00,  0.14961,  0.26772,  0.95276,  0.00,  0.18039,  0.35294,  0.14118,  0.47451,  0.88379,  0.69629,  3.00195,  0.58057, ---, ---, ---, ---
545, 347,  0.1095,  2.94336,  0.88428,  1.00,  0.12598,  0.46457,  0.87402,  0.00,  0.18039,  0.35294,  0.14118,  0.51373,  0.94922,  0.2229,  2.91406,  0.81982, ---, ---, ---, ---
546, 348, -0.31104,  2.57617,  0.48096,  1.00, -0.3937,  0.3937,  0.83465,  0.00,  0.74902,  0.90196,  0.34118,  0.71765,  0.88281,  0.69629,  2.91406,  0.81982, ---, ---, ---, ---
547, 349, -0.19397,  3.01172,  1.25684,  1.00, -0.09449,  0.43307,  0.89764,  0.00,  0.7451,  0.87451,  0.27451,  0.39216,  0.54004,  0.0039,  2.91406,  0.81982, ---, ---, ---, ---
548, 350,  0.07404,  2.20508,  0.58447,  1.00,  0.14961,  0.26772,  0.95276,  0.00,  0.68627,  0.70588,  0.08235,  0.47451,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
549, 351,  0.20361,  2.61133,  1.30371,  1.00,  0.14961,  0.33071,  0.92913,  0.00,  0.66667,  0.65098,  0.0549,  0.26667,  0.09113,  0.2561,  2.91406,  0.81982, ---, ---, ---, ---
550, 350,  0.07404,  2.20508,  0.58447,  1.00,  0.14961,  0.26772,  0.95276,  0.00,  0.68627,  0.70588,  0.08235,  0.47451,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
551, 349, -0.19397,  3.01172,  1.25684,  1.00, -0.09449,  0.43307,  0.89764,  0.00,  0.7451,  0.87451,  0.27451,  0.39216,  0.54004,  0.0039,  2.91406,  0.81982, ---, ---, ---, ---
552, 351,  0.20361,  2.61133,  1.30371,  1.00,  0.14961,  0.33071,  0.92913,  0.00,  0.66667,  0.65098,  0.0549,  0.26667,  0.09113,  0.2561,  2.91406,  0.81982, ---, ---, ---, ---
553, 352,  0.14221,  2.17773,  1.02441,  1.00,  0.14961,  0.23622,  0.96063,  0.00,  0.57647,  0.47843,  0.00784,  0.87451,  0.05051,  0.69678,  3.00195,  0.58057, ---, ---, ---, ---
554, 350,  0.07404,  2.20508,  0.58447,  1.00,  0.14961,  0.26772,  0.95276,  0.00,  0.68627,  0.70588,  0.08235,  0.47451,  0.42188,  0.8999,  3.00195,  0.58057, ---, ---, ---, ---
555, 348, -0.31104,  2.57617,  0.48096,  1.00, -0.3937,  0.3937,  0.83465,  0.00,  0.74902,  0.90196,  0.34118,  0.71765,  0.88281,  0.69629,  2.91406,  0.81982, ---, ---, ---, ---
556, 353, -0.5459,  2.79688,  0.93945,  1.00, -0.3937,  0.40157,  0.82677,  0.00,  0.73725,  0.93725,  0.55294,  0.92157,  0.94971,  0.22192,  3.00195,  0.58057, ---, ---, ---, ---
557, 349, -0.19397,  3.01172,  1.25684,  1.00, -0.09449,  0.43307,  0.89764,  0.00,  0.7451,  0.87451,  0.27451,  0.39216,  0.54004,  0.0039,  2.91406,  0.81982, ---, ---, ---, ---
558, 354, -1.23535,  2.5332, -0.88818,  1.00, -0.81102,  0.31496, -0.49606,  0.00,  0.91373,  0.26275,  0.3451,  0.29804,  0.54053,  0.0048, -0.70605,  0.52148, ---, ---, ---, ---
559, 355, -0.8418,  2.57813, -0.76758,  1.00, -0.72441,  0.3622, -0.59055,  0.00,  0.91373,  0.26275,  0.3451,  0.4549,  0.94922,  0.2229, -0.70605,  0.52148, ---, ---, ---, ---
560, 356, -0.61914,  2.06055, -0.3855,  1.00, -0.88189,  0.24409, -0.40945,  0.00,  0.91373,  0.26275,  0.3451,  0.63529,  0.88379,  0.69629, -0.70605,  0.52148, ---, ---, ---, ---
561, 357, -0.55762,  1.48535,  0.11841,  1.00, -0.88976,  0.06299,  0.45669,  0.00,  0.09412,  0.72157,  0.6902,  0.73333,  0.88037,  0.69727,  2.49805,  0.65674, ---, ---, ---, ---
562, 358, -0.07202,  1.66406,  0.04037,  1.00, -0.15748,  0.14173,  0.97638,  0.00,  0.2902,  0.93333,  0.36471,  0.31373,  0.42236,  0.90137,  2.91406,  0.81982, ---, ---, ---, ---
563, 359, -1.00,  2.05859, -0.40454,  1.00, -0.95276,  0.22047, -0.2126,  0.00,  0.14118,  0.83529,  0.59608,  0.60784,  0.54004,  0.0039, -0.70605,  0.52148, ---, ---, ---, ---
564, 360, -0.50684,  1.99805, -0.5625,  1.00, -0.70866,  0.22835, -0.66929,  0.00,  0.41176,  0.94118,  0.28235,  0.57647,  0.09351,  0.25635, -0.70605,  0.52148, ---, ---, ---, ---
565, 359, -1.00,  2.05859, -0.40454,  1.00, -0.95276,  0.22047, -0.2126,  0.00,  0.14118,  0.83529,  0.59608,  0.60784,  0.54004,  0.0039, -0.70605,  0.52148, ---, ---, ---, ---
566, 358, -0.07202,  1.66406,  0.04037,  1.00, -0.15748,  0.14173,  0.97638,  0.00,  0.2902,  0.93333,  0.36471,  0.31373,  0.42236,  0.90137,  2.91406,  0.81982, ---, ---, ---, ---
567, 360, -0.50684,  1.99805, -0.5625,  1.00, -0.70866,  0.22835, -0.66929,  0.00,  0.41176,  0.94118,  0.28235,  0.57647,  0.09351,  0.25635, -0.70605,  0.52148, ---, ---, ---, ---
568, 358, -0.07202,  1.66406,  0.04037,  1.00, -0.15748,  0.14173,  0.97638,  0.00,  0.2902,  0.93333,  0.36471,  0.31373,  0.42236,  0.90137,  2.91406,  0.81982, ---, ---, ---, ---
569, 361, -0.13428,  1.71094, -0.38379,  1.00, -0.44094,  0.14961, -0.88189,  0.00,  0.50196,  0.89412,  0.19216,  0.56078,  0.0531,  0.69824,  0.12573,  0.81201, ---, ---, ---, ---
570, 357, -0.55762,  1.48535,  0.11841,  1.00, -0.88976,  0.06299,  0.45669,  0.00,  0.09412,  0.72157,  0.6902,  0.73333,  0.88037,  0.69727,  2.49805,  0.65674, ---, ---, ---, ---
571, 359, -1.00,  2.05859, -0.40454,  1.00, -0.95276,  0.22047, -0.2126,  0.00,  0.14118,  0.83529,  0.59608,  0.60784,  0.54004,  0.0039, -0.70605,  0.52148, ---, ---, ---, ---
572, 362, -0.93848,  1.60449, -0.22559,  1.00, -0.99213,  0.08661, -0.11024,  0.00,  0.12157,  0.60784,  0.80784,  0.8902,  0.94727,  0.22217, -0.70605,  0.52148, ---, ---, ---, ---
573, 363, -0.91846,  2.02539, -0.36523,  1.00, -0.95276,  0.2126, -0.19685,  0.00,  0.81961,  0.77647,  0.23137,  0.29804,  0.4939,  0.0262, -0.70605,  0.52148, ---, ---, ---, ---
574, 364, -0.4917,  2.0957,  0.05789,  1.00, -0.86614,  0.25984,  0.4252,  0.00,  0.81961,  0.77647,  0.23137,  0.78039,  0.90039,  0.24475, -0.70605,  0.52148, ---, ---, ---, ---
575, 365, -0.14832,  1.69629,  0.00384,  1.00, -0.68504,  0.14961,  0.71654,  0.00,  0.81961,  0.77647,  0.23137,  0.6549,  0.83545,  0.71875,  2.91406,  0.81982, ---, ---, ---, ---
576, 366, -1.08789,  2.69531, -1.1709,  1.00, -0.67717,  0.35433, -0.64567,  0.00,  0.76078,  0.48627,  0.07451,  0.36471,  0.54053,  0.0048, -0.70605,  0.52148, ---, ---, ---, ---
577, 367, -0.87451,  2.72852, -0.82568,  1.00, -0.70866,  0.3937, -0.59055,  0.00,  0.76078,  0.48627,  0.07451,  0.71765,  0.94922,  0.2229, -0.70605,  0.52148, ---, ---, ---, ---
